Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,mixture_model,cvar_tgt
SiS (GM),Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,6.021218124456761e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,1,2000,6.429999999999999e-06,5.489089337983923e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,2,2000,6.429999999999999e-06,6.5243720027049275e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,3,2000,6.429999999999999e-06,6.4734812295718645e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,4,2000,6.429999999999999e-06,5.985993005225925e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,5,2000,6.429999999999999e-06,6.289036981750793e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,6,2000,6.429999999999999e-06,6.6501186783247815e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,7,2000,6.429999999999999e-06,6.46302755541788e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,8,2000,6.429999999999999e-06,6.463644489693866e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,9,2000,6.429999999999999e-06,6.298947140699257e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,10,2000,6.429999999999999e-06,6.335519021286388e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,11,2000,6.429999999999999e-06,6.178883818858714e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,12,2000,6.429999999999999e-06,5.776178458159066e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,13,2000,6.429999999999999e-06,5.137818066805391e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,14,2000,6.429999999999999e-06,6.331590151827739e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,15,2000,6.429999999999999e-06,6.051297243700316e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,16,2000,6.429999999999999e-06,6.852689580027668e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,17,2000,6.429999999999999e-06,6.1920952266755975e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,18,2000,6.429999999999999e-06,6.383653749047493e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,19,2000,6.429999999999999e-06,6.018678345684277e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,20,2000,6.429999999999999e-06,7.2538222361321e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,21,2000,6.429999999999999e-06,6.2013023017645125e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,22,2000,6.429999999999999e-06,6.264297406591187e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,23,2000,6.429999999999999e-06,6.06312184688936e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,24,2000,6.429999999999999e-06,6.2312235765350645e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,25,2000,6.429999999999999e-06,6.311988046317961e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,26,2000,6.429999999999999e-06,5.856744732965494e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,27,2000,6.429999999999999e-06,5.980841620699435e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,28,2000,6.429999999999999e-06,5.601643623546023e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,29,2000,6.429999999999999e-06,6.408864924257068e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,30,2000,6.429999999999999e-06,6.504442049163289e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,31,2000,6.429999999999999e-06,6.747824262195026e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,32,2000,6.429999999999999e-06,7.151333675339594e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,33,2000,6.429999999999999e-06,6.446100173375469e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,34,2000,6.429999999999999e-06,6.740593795795583e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,35,2000,6.429999999999999e-06,5.833810119972306e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,36,2000,6.429999999999999e-06,6.334935188216605e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,37,2000,6.429999999999999e-06,7.011111322115545e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,38,2000,6.429999999999999e-06,6.149745945542169e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,39,2000,6.429999999999999e-06,6.573922423889878e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,40,2000,6.429999999999999e-06,5.721375122152113e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,41,2000,6.429999999999999e-06,7.054991612235935e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,42,2000,6.429999999999999e-06,5.928243481048244e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,43,2000,6.429999999999999e-06,5.490252322808362e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,44,2000,6.429999999999999e-06,6.1710762172078785e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,45,2000,6.429999999999999e-06,6.197470832623223e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,46,2000,6.429999999999999e-06,6.2625276320718835e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,47,2000,6.429999999999999e-06,5.781877366756852e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,48,2000,6.429999999999999e-06,6.466436610878922e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,49,2000,6.429999999999999e-06,6.222576308127372e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,50,2000,6.429999999999999e-06,6.5332120138475105e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,51,2000,6.429999999999999e-06,6.165306602621652e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,52,2000,6.429999999999999e-06,6.181698103703683e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,53,2000,6.429999999999999e-06,6.162842482094347e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,54,2000,6.429999999999999e-06,6.682014291822064e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,55,2000,6.429999999999999e-06,5.796258560726347e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,56,2000,6.429999999999999e-06,5.352120642139165e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,57,2000,6.429999999999999e-06,6.94135640838341e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,58,2000,6.429999999999999e-06,6.2087039722488786e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,59,2000,6.429999999999999e-06,5.8214111496676885e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,60,2000,6.429999999999999e-06,5.690840097514464e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,61,2000,6.429999999999999e-06,5.457885828721868e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,62,2000,6.429999999999999e-06,5.5676603910610855e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,63,2000,6.429999999999999e-06,5.754977647519125e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,64,2000,6.429999999999999e-06,6.362422429023059e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,65,2000,6.429999999999999e-06,6.416901087529193e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,66,2000,6.429999999999999e-06,5.4833250611625234e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,67,2000,6.429999999999999e-06,6.165837565278273e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,68,2000,6.429999999999999e-06,5.8563554125996205e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,69,2000,6.429999999999999e-06,6.48581894933949e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,70,2000,6.429999999999999e-06,5.981280462324646e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,71,2000,6.429999999999999e-06,5.9766935013072145e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,72,2000,6.429999999999999e-06,6.109295091544214e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,73,2000,6.429999999999999e-06,6.191270421981877e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,74,2000,6.429999999999999e-06,6.334976920288822e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,75,2000,6.429999999999999e-06,6.007832483543361e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,76,2000,6.429999999999999e-06,6.0635627280130114e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,77,2000,6.429999999999999e-06,5.8609736261521865e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,78,2000,6.429999999999999e-06,5.618943414816295e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,79,2000,6.429999999999999e-06,6.0976232788852035e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,80,2000,6.429999999999999e-06,5.946950040361685e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,81,2000,6.429999999999999e-06,5.405244614677126e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,82,2000,6.429999999999999e-06,6.7375119078286485e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,83,2000,6.429999999999999e-06,6.400631345004652e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,84,2000,6.429999999999999e-06,6.162100311711887e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,85,2000,6.429999999999999e-06,5.98433650606476e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,86,2000,6.429999999999999e-06,6.883804396442948e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,87,2000,6.429999999999999e-06,6.487405684375705e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,88,2000,6.429999999999999e-06,5.9455405476812515e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,89,2000,6.429999999999999e-06,6.23352751075066e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,90,2000,6.429999999999999e-06,6.104985596173133e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,91,2000,6.429999999999999e-06,7.148554986793876e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,92,2000,6.429999999999999e-06,6.1758590993989555e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,93,2000,6.429999999999999e-06,6.736484605996819e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,94,2000,6.429999999999999e-06,6.5834886194408655e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,95,2000,6.429999999999999e-06,5.378367191954688e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,96,2000,6.429999999999999e-06,5.854984207607579e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,97,2000,6.429999999999999e-06,6.026801557437984e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,98,2000,6.429999999999999e-06,6.641121699202469e-06,16000,7,Success,GM,1
SiS (GM),Nonlinear Oscillator Problem,99,2000,6.429999999999999e-06,6.533975618199328e-06,16000,7,Success,GM,1
